year,price,ann_return
1987,1.515162,4.7545410985756105
1988,1.587201,-0.9860124836110966
1989,1.571551,25.596114920864814
1990,1.973807,12.323342657108812
1991,2.217046,-0.7935784823589537
1992,2.199452,1.5786204927409293
1993,2.234173,53.486592130510914
1994,3.429156,2.358335403813654
1995,3.510027,34.43215678967712
1996,4.718605,59.92788122760857
1997,7.546365,67.31747006671424
1998,12.626387,-23.24730740472314
1999,9.691092,13.64351922363343
2000,11.013298,38.6060469806592
2001,15.265097,1.0207206675463605
2002,15.420911,-22.21955628950845
2003,11.994453,61.0270847699349
2004,19.314318,25.416377632386496
2005,24.223318,0.9043641337656658
2006,24.442385,44.023764456700924
2007,35.202843,-32.89087191054428
2008,23.624321,-83.52250208588005
2009,3.892697,200.59023345510835
2010,11.701067,11.515830137542151
2011,13.048542,-26.417135339718417
2012,9.601491,45.40461476243638
2013,13.961011,3.611106674151331
2014,14.465158,-19.4985772018529
2015,11.644658,-21.233101049425407
2016,9.172136,5.469467526430042
2017,9.673803,4.1366668310280925
2018,10.073976,-24.795572274541854
2019,7.576076,10.013508312218624
2020,8.334707,-14.089325515582015
2021,7.160403,52.086411896090226
